Asin,Title,Price,Sold by,Review Count,Rating,Date
B0B6G5BGDR,"Dell Inspiron 7425 14 FHD+ 2-in-1 Laptop, AMD Ryzen 5 5625U, 8GB RAM, 256GB SSD, Touchscreen, Backlit Keyboard, Fingerprint Reader, Windows 11 Home (Pebble Green)",663.23,Amazon,0,0,13-Jul-22
B09S3Z7B5N,"Lenovo IdeaPad 5 15.6 inch FHD Laptop - ( AMD Ryzen 7 5700U, AMD Radeon Graphics, 8 GB RAM,512GB SSD, Windows 11) - Abyss Blue",647.31,Amazon,7,4.3,9 Feb. 2022
B09M92HYWS,"Lenovo IdeaPad L340 15.6-inch FHD Laptop, Intel Core i5-9300HF (4 Cores, 4.1GHz), GeForce GTX 1650 4GB, 16GB DDR4, 1TB SSD, WiFi 11ac & BT 4.2, Windows 10 Pro UK Keyboard Layout - 81LK01PRUK (Renewed)",759.99,Cybist,0,0,19 Nov. 2021
B08Q3SZWVF,"HP 15.6 Inch Full HD Laptop PC 15s-fq2015sa, Intel i3, 8GB RAM, 256GB SSD, Windows 11  Silver",389.66,Amazon Warehouse,130,4.3,9 Dec. 2020
B0B5XMFXKH,"Lenovo IdeaPad Flex 3 Chromebook 15.6 Inch Full HD Touch Display Laptop (Intel Pentium Silver N6000, Integrated Intel UHD Graphics, 8GB RAM, 128GB SSD, Chrome OS) - Arctic Grey",429.99,Amazon,45,4.7,6-Jul-22
B08NQ1VX6Z,"Dell Inspiron 3000 15.6 inch FHD Laptop, AMD Ryzen 5 3500U, 8GB RAM, 256GB SSD, Windows 10 Home (Black)",499,Amazon,697,4.4,16 Nov. 2020
B09W2C1CT8,"Azeyou 14 HD Windows 10 Professional Laptop - 128GB Storage, 6GB RAM, Anti-Glare, Intel 64-bit, Dual-Band WiFi, USB 3.0 - Lightweight Design - Supports 256GB",219.99,Azeyou Global,0,0,7-Jul-22
B07T3FS2BV,"HP EliteBook 830 G5 13.3 Full HD Laptop Intel Core i5-8250U, 8GB RAM, 256GB SSD, Windows 10 Pro - 3UP82ET#ABU (Renewed)",747.28,BornGood,1,5,13 Jun. 2019
B006HDQE7W,NEW 4Gb 7 inch Red Mini Laptop Netbook. Android 2.2. Latest Software. Latest build.,79.99,Bluebose UK,165,3.2,3 Dec. 2011
B0BL8XPJY5,"CHUWI Tablet PC 13 Inch UBook XPro with Keyboard and Stylus, 2 in 1 Laptop with Intel Core i7 and Windows 11, 8GB RAM 256GB ROM and 2160 x 1440 IPS, Supports 2.4G/5G WiFi, BT4.2 and USB 3.0",529.99,SUPER HUANG,4,3.9,3 Nov. 2022
B07RHVT52L,"Apple MacBook Pro 15 (Mid 2014) - Core i7 2.5GHz, 16GB RAM, 512GB SSD (Renewed)",462,Amazon,15,3.7,7-May-19
B097PQ4XBD,"ASUS ZenBook S13 UX393EA 13.9 inch 3K 500nits Touchscreen IPS-level Panel Laptop (Intel i7-1165G7, 16GB RAM, 1TB SSD, Backlit Keyboard, Windows 10) Includes Sleeve, and USB-C to audio jack adapter",627.26,Amazon Warehouse,20,4.6,22 Jun. 2021
B09RQSGL2Y,"Acer Aspire 3 A315-58 15.6 inch Laptop - (Intel Core i3-1115G4, 8GB, 512GB SSD, Full HD Display, Windows 11, Silver)",499.99,Amazon,37,4.2,3 Feb. 2022
B096FZPBQB,"Lenovo IdeaPad 5i 14 Inch Touch FHD Intel Pentium, 4GB RAM, 128GB SSD, Intel UHD Graphics, Chromebook  Storm Grey Laptop",289.99,SmartSalesUK,144,4.2,2 Jun. 2021
B08PDL15CT,"New ASUS Quad Turbo Laptop, 4GB RAM, SSD, HD, Windows 11 Pro, Office 2021, V Long Battery Life",348.44,TecBuyer,89,4.2,6 Sept. 2021
B0BJVQDGRN,"AOCWEI Laptop Computers Windows 10, 14 6GB RAM 128GB SSD Support 1TB SSD Expansion, 1920x1080 FHD Traditional Laptop, 2.4G+5G WiFi Bluetooth 4.2 Full Metal Notebook with Wireless Mouse-Red",289.99,USMARTPAD,25,4.7,20 Oct. 2022
B08FQLH8C7,"Simbans [3 Bonus Items] TangoTab 10 Inch Tablet with Keyboard 2-in-1 Laptop, 4GB RAM, 64 GB Storage, Android 10, Mini HDMI, Micro-USB - TXL",159.95,Mayah EU,652,3.8,7 Sept. 2020
B0BJVQC7CV,"AOCWEI Laptop Computers Windows 10, 14 6GB RAM 128GB SSD Support 1TB SSD Expansion, 1920x1080 FHD Traditional Laptop, 2.4G+5G WiFi Bluetooth 4.2 Full Metal Notebook with Wireless Mouse-Gold",289.99,USMARTPAD,25,4.7,20 Nov. 2022
B09JZSDXZ2,"HP 14 Inch Laptop PC 14s-fq0014na, AMD Athlon 3020e, 4GB RAM, 128GB SSD, FHD, Radeon Graphics, Windows 11 in S Mode, Microsoft 365 Personal 12 Months Included  Black",299.99,Amazon,42,4.2,21 Oct. 2021
B092MP1CY4,Samsung Galaxy Book Pro Intel Core i5 with Windows 10 Home 13.3 Inch 4G Laptop 8GB RAM 256GB Storage Mystic Blue (UK Version) - FREE Upgrade to Windows 11,1021.41,Amazon,20,4.1,27-Apr-21
B08Q3XHP3M,"HP 15.6 Full HD Laptop PC 15s-fq2016sa, Intel i5, 8GB RAM, 512GB SSD, Windows 11 - Natural silver",486.3,Amazon Warehouse,260,4.5,9 Dec. 2020
B09JZFZJCJ,"Acer Swift X SFX14-41G 14 inch Laptop - (AMD Ryzen 7 5800U, 16GB, 1TB SSD, NVIDIA RTX 3050Ti, Full HD Display, Windows 11, Blue/Silver)",978.98,Amazon,18,4.6,21 Oct. 2021
B09SG5GTK3,"Lenovo Yoga Slim 7 13.3 inch QHD Laptop - (Intel Core i7-1165G7, 16 GB RAM, 512 GB SSD, Windows 11) - Iron Grey",734.69,Amazon Warehouse,15,3.7,14 Feb. 2022
